Building Name,Postcode,Year,latitude,longitude,Address,Type,Function,Size,Employee,Transportation,GFA,Energy,Waste,Water,Scope1,Scope2,Scope3,GHG_Total,EUI,GHG_Intensity,Award,Year of GM Award,GM Version,Validation Result
EQUINIX SG3 DATA CENTRE,139963,2021,1.2767,103.8452,"26A AYER RAJAH CRESCENT, SINGAPORE 139963",Commercial Building,Office,Large,3349,20294264.8589585,35218.0,156833001.0,303.359140683467,96114.5932848884,82.745278,1852.640909,1989.55883,3924.945017,4453.20577545573,0.11144712979158385,platinum,2022.0,Existing Data Centres,Fail
EQUINIX SG3 DATA CENTRE,139963,2022,1.2767,103.8452,"26A AYER RAJAH CRESCENT, SINGAPORE 139963",Commercial Building,Office,Large,3349,20294264.8589585,35218.0,161283984.0,320.977900908104,98862.9462041791,82.3333157626739,1884.78723308945,1868.68060198026,3835.80115083238,4579.58952808223,0.10891592795821398,platinum,2022.0,Existing Data Centres,Pass
EQUINIX SG3 DATA CENTRE,139963,2023,1.2767,103.8452,"26A AYER RAJAH CRESCENT, SINGAPORE 139963",Commercial Building,Office,Large,3349,20294264.8589585,35218.0,179270910.26762,298.158467834454,89616.6332480029,80.0005660038158,1781.71652327832,1945.78179395372,3807.49888323585,5090.32058230506,0.10811229721267107,platinum,2022.0,Existing Data Centres,Pass
BLK 20 ARC,139964,2021,1.3883,103.9903,"BLK 20 AYER RAJAH CRESCENT, SINGAPORE 139964",Commercial Building,Office,Large,2718,19714740.6958175,38349.0,84904523.1100002,427.221646522897,111956.768702155,126.706759,2240.932227,2027.108792,4394.747778,2213.99575243162,0.11459875819447704,,,,No Green Mark
BLK 20 ARC,139964,2022,1.3883,103.9903,"BLK 20 AYER RAJAH CRESCENT, SINGAPORE 139964",Commercial Building,Office,Large,2718,19714740.6958175,38349.0,88405829.4799999,423.145873491527,112537.092470065,128.381755149542,2131.61432937407,2086.44564279206,4346.44172731567,2305.2968651073,0.11333911516116899,,,,No Green Mark
BLK 20 ARC,139964,2023,1.3883,103.9903,"BLK 20 AYER RAJAH CRESCENT, SINGAPORE 139964",Commercial Building,Office,Large,2718,19714740.6958175,38349.0,93976193.6614226,427.404497360049,114298.583590441,130.344929007598,2076.98442123853,2197.01433422818,4404.34368447431,2450.55134844253,0.11484898392329161,,,,No Green Mark
SYNTHESIS,138636,2021,1.3012,103.793,"6 FUSIONOPOLIS WAY, SINGAPORE 138636",Commercial Building,Office,Large,1376,6291651.62961434,19173.0,22664821.5000001,162.330153911908,43608.8300844939,4.712864,886.913065,841.780705,1733.406634,1182.12181192302,0.09040873280133521,platinum,2020.0,New Building for Non-Residential buildings (version 3),Pass
SYNTHESIS,138636,2022,1.3012,103.793,"6 FUSIONOPOLIS WAY, SINGAPORE 138636",Commercial Building,Office,Large,1376,6291651.62961434,19173.0,22059615.7500001,165.824235837824,45124.7645566885,4.57151042197755,883.521885787567,848.95440276165,1737.04779897119,1150.55629009545,0.09059864387269546,platinum,2020.0,New Building for Non-Residential buildings (version 3),Pass
SYNTHESIS,138636,2023,1.3012,103.793,"6 FUSIONOPOLIS WAY, SINGAPORE 138636",Commercial Building,Office,Large,1376,6291651.62961434,19173.0,22002134.1375627,167.620782296667,44816.4362916926,4.54266889451114,911.283578305151,794.049111078778,1709.87535827844,1147.55824010654,0.08918141961500235,platinum,2020.0,New Building for Non-Residential buildings (version 3),Pass
DSO NATIONAL LABORATORIES,118230,2021,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,10454775.0,138.428001446913,36591.0700733145,23.199299,757.506344,718.301965,1499.007608,660.881902824564,0.09475737166256938,,,,No Green Mark
DSO NATIONAL LABORATORIES,118230,2021,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,10454775.0,138.428001446913,36591.0700733145,23.199299,757.506344,718.301965,1499.007608,660.881902824564,0.09475737166256938,goldplus,2013.0,New Building for Non-Residential buildings (version 4),Pass
DSO NATIONAL LABORATORIES,118230,2021,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,10454775.0,138.428001446913,36591.0700733145,23.199299,757.506344,718.301965,1499.007608,660.881902824564,0.09475737166256938,,,,No Green Mark
